,n_clusters_found,silhouette_score,calinski_harabasz,davies_bouldin,cluster_purity
K-Means (k=4),4.0,0.18455966408642438,474.98181891359155,1.7999080766977638,0.48713722641141477
K-Means (k=optimal),14.0,0.2636903797449515,342.69946644807635,1.5128626143183779,0.8217377349881742
Agglomerative (k=4),4.0,0.17574135672964286,448.82912073178153,1.6694557513769963,0.581099796312873
Agglomerative (k=optimal),14.0,0.2668674976949628,339.82840357511657,1.4448562770693003,0.8387414837209421
Gaussian Mixture (k=4),4.0,0.14551208461174953,313.4971150330946,2.0649295592055568,0.5857300227824711
Gaussian Mixture (k=optimal),14.0,0.24184515707009197,311.3151115200867,1.524063441437875,0.8443665532962212
DBSCAN (eps=2.5),16.0,-0.15917732170190454,34.145019646629066,1.2023710779630852,1.0
DBSCAN (eps=3.0),37.0,-0.037730361253170266,45.60541833521692,1.3691330415531842,1.0
DBSCAN (eps=3.5),43.0,0.09092648915700707,71.02422555450616,1.4080814688193628,1.0
Spectral Clustering,3.0,0.24752523472419344,2.8988017441606817,0.5897823323472128,0.7509955493089716
