,n_clusters_found,silhouette_score,calinski_harabasz,davies_bouldin,cluster_purity
K-Means (k=4),4.0,0.19036462454933958,594.5853546722285,1.9761337329871804,0.4142575693576688
K-Means (k=optimal),15.0,0.2588435692549762,383.4646351299529,1.4773299450281556,0.8725732579678526
Agglomerative (k=4),4.0,0.19471924093512946,574.4207286860849,1.5966772334081496,0.5834989524227545
Agglomerative (k=optimal),15.0,0.26410423113589343,385.05044032063495,1.4745171366125525,0.8493214665430885
Gaussian Mixture (k=4),4.0,0.19503842807019886,577.2354886570027,1.874377537112149,0.5400971181942528
Gaussian Mixture (k=optimal),15.0,0.244001035939982,373.65343876768276,1.5329830306583219,0.858530898901043
DBSCAN (eps=2.5),17.0,-0.23506805107377918,35.43625930672519,1.3322636784179718,1.0
DBSCAN (eps=3.0),29.0,-0.07705545559077999,57.08148947303705,1.3245712401154317,1.0
DBSCAN (eps=3.5),43.0,0.11559398377598726,90.39000200517933,1.3701027556732395,1.0
Spectral Clustering,4.0,-0.0567500395428097,38.17520526353216,2.0517529514691653,0.6684894493051982
