Model,CV Mean,CV Std,Test Accuracy,Test F1-Score,Test AUC,Train Accuracy,Training Time,Generalization Gap,Overfitting Risk
Support Vector Machine,0.9986851702560559,0.0017539070847167892,1.0,1.0,1.0,1.0,0.3640756607055664,0.0,Low
Logistic Regression,0.9978108564628201,0.0013839302852316929,1.0,1.0,1.0,1.0,0.520176887512207,0.0,Low
K-Nearest Neighbors,0.997372259971592,0.0016395420200849035,0.9929078014184397,0.9928616591030682,1.0,1.0,0.022147655487060547,0.007092198581560294,Low
Multi-Layer Perceptron,0.9890533225843601,0.007058475509491137,0.9858156028368794,0.985623511927329,1.0,0.999124343257443,0.2099592685699463,0.013308740420563625,Low
Random Forest,0.9938692464202081,0.004465301424822595,0.9645390070921985,0.9631865413161801,1.0,1.0,0.7385299205780029,0.03546099290780147,Low
Decision Tree,0.9509645283888059,0.0056277389928474884,0.8652482269503546,0.857263183122802,0.9044838751882593,0.9960595446584939,0.06900310516357422,0.13081131770813925,Medium
Naive Bayes,0.953156551115206,0.007635039695121547,0.8581560283687943,0.835036818351488,0.9044073836949401,0.9605954465849387,0.0029976367950439453,0.10243941821614433,Medium
